Date of List,Rank,Title,Author,Pub City,Publisher,Fict/Non/Int,Series,Hardback/paperback,,,,,,,,,,,
10-Dec-93,10,Polnoch',"Kunts, D.",Moscow,Novosti,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,1,Astrologicheskii kalendar',not listed,Moscow,Kazachii krug,Drugaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,2,Entsiklopediia sovremennogo bodibildinga,"Shvartsenegger, A., Dobbins, B.",Moscow,Fizkul'tura i sport,Drugaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,3,Luchshie meditsinskie tsentry Moskvy,not listed,Moscow,Metafora,Drugaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,4,Gomeopatiia,"Ger-Gardt, A. fon",Moscow,"Klyshnikov, Komarov, i Ko, Dvoinaia Zvezda",Drugaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,5,"Kremlëvskie zhëny: Fakty, vospominaniia, dokumenty, slukhi, legendy i vzgliad avtora","Vasil'eva, Larisa",Moscow,VAGRIUS,Drugaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,6,Spravochnik po strelkovomu oruzhiiu,"Zhuk, A.B.",Moscow,Voenizdat,Drugaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,7,Domashniaia meditsinskaia entsiklopediia,not listed,Moscow,Meditsina,Drugaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,8,"Liudi sdelaiut tak, kak vy zakhotite","Parkinson, D.O.",Moscow,Novosti,Drugaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,9,Etiket i my,"Nikolaeva, T., Illarionov, S.",Moscow,Sov. Sport,Drugaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,10,Slovar' russkikh familii,"Nikonov, V.",Moscow,Shkola-Press,Drugaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,1,Tvin piks,"Linch, Dzhennifer i Frost, Skott",Rostov-na-Donu,Germes and Vagrius,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,2,Shorokhi,"Kunts, D.",Moscow,Interdaidzest,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,3,Surovyi urok,"Dzhordan, P.",Moscow,Raduga,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,4,Park iurskogo perioda,"Kraiton, M.",Moscow,VAGRIUS,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,5,Dolgaia doroga v diunakh,"Rudnev, O.",Moscow,Drofa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,6,Zherebets,"Kollinz, D.",Moscow,Pressa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,7,Lovushka dlia Greisi,"Uil'iams, K.",Moscow,Panorama,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,8,Konets sveta,"Sheldon, S.",Moscow,Novosti,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,9,Polnoch',"Kunts, D.",Moscow,Novosti,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
17-Dec-93,10,"Shpion pod podozreniem, Spasskie vorota","Sebastiana, T.",Moscow,Kuchkovoe pole-Tituk-Dikop,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,1,Astrologicheskii kalendar',not listed,Moscow,Kazachii krug,Drugaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,2,Entsiklopediia sovremennogo bodibildinga,"Shvartsenegger, A., Dobbins, B.",Moscow,Fizkul'tura i sport,Drugaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,3,Luchshie meditsinskie tsentry Moskvy,not listed,Moscow,Metafora,Drugaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,4,"Liudi sdelaiut tak, kak vy zakhotite","Parkinson, D.O.",Moscow,Novosti,Drugaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,5,Velikaia kriminal'naia revoliutsiia,"Govorukhin, St.",Moscow,Andreevskii flag,Drugaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,6,Bitvy mirovoi istorii: Slovar',"Kharbotl, T.",Moscow,Vneshsigma,Drugaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,7,Drevnie Tiurki,"Gumilev, L.",Moscow,"Klyshnikov, Komarov, i Ko",Drugaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,8,Ritmy Evrazii. Epokhi i Tsivilizatsii,"Gumilev, L.",Moscow,"Progress-Pangeia, Ekopros",Drugaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,9,Spravochnik po strelkovomu oruzhiiu,"Zhuk, A.B.",Moscow,Voenizdat,Drugaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,10,Anglo-Russkii slovar' amerikanskogo slenga,"Tuzovskii, E.I.",Moscow,Knizhnyi sad,Drugaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,1,Polnoch',"Kunts, D.",Moscow,Novosti,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,2,Na trinadtsati vetrakh,"Bentsoni, Zh.",Moscow,Drofa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,3,Zherebets,"Kollinz, D.",Moscow,"Pressa, Polina M",Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,4,Lovushka dlia Greisi,"Uil'iams, K.",Moscow,Panorama,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,5,Serdtse na dvoikh,"Stafford, L.",Moscow,Panorama,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,6,Tvin piks,"Linch, Dzhennifer i Frost, Skott",Rostov-na-Donu,Germes and Vagrius,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,7,Dolgaia doroga v diunakh,"Rudnev, O.",Moscow,Drofa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,8,Mel'nitsa bogov,"Sheldon, S.",Moscow,Novosti seriia Mirovoi bestseller,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,9,Park iurskogo perioda,"Kraiton, M.",Moscow,VAGRIUS,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
24-Dec-93,10,"Shpion pod podozreniem, Spasskie vorota","Sebastiana, T.",Moscow,Kuchkovoe pole-Tituk-Dikop,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,1,Luchshie meditsinskie tsentry Moskvy,not listed,Moscow,Metafora,Drugaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,2,Entsiklopediia sovremennogo bodibildinga,"Shvartsenegger, A., Dobbins, B.",Moscow,Fizkul'tura i sport,Drugaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,3,"Liudi sdelaiut tak, kak vy zakhotite","Parkinson, D.O.",Moscow,Novosti,Drugaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,4,Velikaia kriminal'naia revoliutsiia,"Govorukhin, St.",Moscow,Andreevskii flag,Drugaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,5,Astrologicheskii prognoz,"Zaraeva, A.",Moscow,Sirius,Drugaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,6,Drevnie Tiurki,"Gumilev, L.",Moscow,"Klyshnikov, Komarov, i Ko",Drugaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,7,Ritmy Evrazii. Epokhi i Tsivilizatsii,"Gumilev, L.",Moscow,"Progress-Pangeia, Ekopros",Drugaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,8,Spravochnik po strelkovomu oruzhiiu,"Zhuk, A.B.",Moscow,Voenizdat,Drugaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,9,Astrologicheskii kalendar',not listed,Moscow,Kazachii krug,Drugaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,10,Anglo-Russkii slovar' amerikanskogo slenga,"Tuzovskii, E.I.",Moscow,Knizhnyi sad,Drugaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,1,Mel'nitsa bogov,"Sheldon, S.",Moscow,Novosti seriia Mirovoi bestseller,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,2,Na trinadtsati vetrakh,"Bentsoni, Zh.",Moscow,Drofa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,3,Zherebets,"Kollinz, D.",Moscow,"Pressa, Polina M",Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,4,Lovushka dlia Greisi,"Uil'iams, K.",Moscow,Panorama,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,5,"Magiia serdtsa, Do skonchaniia veka","Kartlend, B.",Moscow,SP Avangard,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,6,Park iurskogo perioda,"Kraiton, M.",Moscow,VAGRIUS,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,7,Dolgaia doroga v diunakh,"Rudnev, O.",Moscow,Drofa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,8,Polnoch',"Kunts, D.",Moscow,Novosti,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,9,Tvin piks,"Linch, Dzhennifer i Frost, Skott",Rostov-na-Donu,Germes and Vagrius,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
31-Dec-93,10,"Shpion pod podozreniem, Spasskie vorota","Sebastiana, T.",Moscow,Kuchkovoe pole-Tituk-Dikop,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,1,Velikaia kriminal'naia revoliutsiia,"Govorukhin, St.",Moscow,Andreevskii flag,Drugaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,2,Anglo-Russkii slovar' amerikanskogo slenga,"Tuzovskii, E.I.",Moscow,Knizhnyi sad,Drugaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,3,Astrologicheskii kalendar' 1994,not listed,Moscow,Kazachii krug,Drugaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,4,Luchshie meditsinskie tsentry Moskvy,not listed,Moscow,Metafora,Drugaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,5,"Liudi sdelaiut tak, kak vy zakhotite","Parkinson, D.O.",Moscow,Novosti,Drugaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,6,Rukodelie,not listed,Moscow,Bol'shaia Ros. Entsiklopediia,Drugaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,7,Iskusstvo delat' liudei schastlivymi,"Teleshevskaia, M.E.",Moscow,Angstrem,Drugaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,8,Ulitsy Moskvy,not listed,Moscow,Avers,Drugaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,9,Entsiklopediia sovremennogo bodibildinga,"Shvartsenegger, A., Dobbins, B.",Moscow,Fizkul'tura i sport,Drugaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,10,Drevnie Tiurki,"Gumilev, L.",Moscow,"Klyshnikov, Komarov, i Ko",Drugaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,1,Serdtse na dvoikh,"Stafford, L.",Moscow,Panorama,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,2,Lovushka dlia Greisi,"Uil'iams, K.",Moscow,Panorama,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,3,Mel'nitsa bogov,"Sheldon, S.",Moscow,Novosti seriia Mirovoi bestseller,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,4,Dolgaia doroga v diunakh,"Rudnev, O.",Moscow,Drofa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,5,Semeinye tainy,"Pikart, D.E.",Moscow,Vse dlia vas,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,6,Dolgaia doroga v diunakh,"Rudnev, O.",Moscow,Drofa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,7,Zherebets,"Kollinz, D.",Moscow,"Pressa, Polina M",Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,8,Park iurskogo perioda,"Kraiton, M.",Moscow,VAGRIUS,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,9,Tvin piks,"Linch, Dzhennifer i Frost, Skott",Rostov-na-Donu,Germes and Vagrius,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
7-Jan-94,10,"Shpion pod podozreniem, Spasskie vorota","Sebastiana, T.",Moscow,Kuchkovoe pole-Tituk-Dikop,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,1,Velikaia kriminal'naia revoliutsiia,"Govorukhin, St.",Moscow,Andreevskii flag,Drugaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,2,Anglo-Russkii slovar' amerikanskogo slenga,"Tuzovskii, E.I.",Moscow,Knizhnyi sad,Drugaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,3,Lesbianki,"Morz, B.",Moscow,Panmarket,Drugaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,4,Ulitsy Moskvy,not listed,Moscow,Avers,Drugaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,5,"Liudi sdelaiut tak, kak vy zakhotite","Parkinson, D.O.",Moscow,Novosti,Drugaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,6,Rukodelie,not listed,Moscow,Bol'shaia Ros. Entsiklopediia,Drugaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,7,Iskusstvo delat' liudei schastlivymi,"Teleshevskaia, M.E.",Moscow,Angstrem,Drugaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,8,Luchshie meditsinskie tsentry Moskvy,not listed,Moscow,Metafora,Drugaia literatura,not listed,not listed,,,,,,,,,,,
