Date of List,Rank,Title,Author,Pub City,Publisher,Fict/Non/Int,Series,Hardback/paperback,,,,,,,,,,,
24-Sep-96,6,Travnik dlia muzhchin,"Efremov, A., Shreter, A.",Moscow,Asadal',Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
24-Sep-96,6,Zolotaia kniga rukovoditelia,"Taranov, P.",Moscow,"Agentstvo ""FAIR""",Inaia literatura,Nastol'naia kniga biznesmena,v miagkoi oblozhke,,,,,,,,,,,
24-Sep-96,7,V poiskakh drakona,"Ettenboro, D.",Moscow,ARMADA,Inaia literatura,Zelenaia seriia,v tverdom pereplete,,,,,,,,,,,
24-Sep-96,7,Za derzhavu obidno,"Lebed', A.",Moscow,Mosk. pravda,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
24-Sep-96,8,"My deti tvoi, moskva","Luzhkov, Iu.",Moscow,VAGRIUS,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
24-Sep-96,8,Rebenok i ukhod za nim,"Spok, B.",Moscow,"Agentstvo ""FAIR""",Inaia literatura,Nastol'naia kniga roditelei,v miagkoi oblozhke,,,,,,,,,,,
24-Sep-96,9,Nashi traditsii,not listed,Moscow,Bukmen,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
24-Sep-96,9,Domashnee vinodelie,not listed,Moscow,Bukmen,Inaia literatura,Delaite eto pravil'no,v miagkoi oblozhke,,,,,,,,,,,
24-Sep-96,10,Russkaia kukhnia,not listed,Moscow,EKSMO,Inaia literatura,Lakomka,v tverdom pereplete,,,,,,,,,,,
24-Sep-96,10,Moim ogorodnikam,"Ganichkina, O.",Moscow,Znanie,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,5.5,Egipetskaia religiia,"Badzh, U.",Moscow,Aleteiia,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
1-Oct-96,5.5,Stat'i po filosofii,"Vvedenskii, A. I.",St. Petersburg,Izdatel'stvo SPb. universiteta,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
1-Oct-96,5.5,Polovaia psikhopatiia,"Kraft-Ebin, R.",Moscow,Respublika,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
1-Oct-96,5.5,Nash vykhod. k istorii russkogo futurizma,"Kruchenykh, A.",Moscow,RA,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
1-Oct-96,5.5,Uslovnosti,"Kuzmin, M.",Tomsk,Vodolei,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
1-Oct-96,5.5,Velikosvetskie obedy: panorama stolichnoi zhizni,"Lotman, Iu. M., Pogosian, E. V.",St. Petersburg,Pushkinskii fond,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
1-Oct-96,5.5,Vvedenie v iazykovedenie,"Reformatskii, A. A.",Moscow,Aspekt press,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
1-Oct-96,5.5,Sinii vsadnik,not listed,Moscow,Izobrazitel'noe iskusstvo,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
1-Oct-96,5.5,Zapiski freiliny,"Tolstaia, A. A.",Moscow,Entsiklopediia rossiiskikh dereven',"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
1-Oct-96,5.5,Sochineniia v 2 t,"Ium, D.",Moscow,Mysl',"""Intellektual'nye"" bestsellery",Filosofskoe nasledie,not listed,,,,,,,,,,,
1-Oct-96,1,Russkie rabyni,"Khristoforov, I.",Moscow,EKSMO,Belletristika,Chernaia koshka,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,1,Smersh-2,"Golovachev, V.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,2,Brosok Kobry,"Leonov, N.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,2,Oshibka prezidenta ,"Neznanskii, F.",Moscow,"AST, Lirus, Drofa",Belletristika,Marsh Turetskogo,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,3,Chernyi spisok,"Marinina, A.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,3,Oboroten',"Neznanskii, F.",Moscow,"AST, Lirus, Drofa",Belletristika,Marsh Turetskogo,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,4,Ne meshaite palachu,"Marinina, A.",Moscow,EKSMO,Belletristika,Chernaia koshka ,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,4,Kak vybrat' muzhchinu ,"Tomson, V. ",Moscow,Raduga,Belletristika,iskushenie,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,5,Tridtsatogo unichtozhit' ,"Dotsenko, V.",Moscow,VAGRIUS,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,5,Tsena chast'ia ,"Iden, D.",Moscow,FanTOM PRESS INTER V.M.,Belletristika,Polnolunie liubvi,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,6,U menia net sopernits,"Dzhekson, M.",Moscow,RMZh,Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,6,Srok dlia beshenogo,"Dotsenko, V.",Moscow,VAGRIUS,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,7,Posmotri v moi glaza ,"Dzhekson, M.",Moscow,RMZh,Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,7,Zoloto beshenogo,"Dotsenko, V.",Moscow,VAGRIUS,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,8,Pakhan ,"Derevianko, I. ",Moscow,EKSMO,Belletristika,Chernaia koshka ,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,8,Srok dlia beshenogo,"Dotsenko, V.",Moscow,VAGRIUS,Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,9,Tak ubivat' nechestno!,"Kheier, Dzh.",Moscow,FanTOM PRESS INTER V.M.,Belletristika,Ironicheskii detektiv,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,9,Diktator ,"Snegov, S. ",Moscow,Riga: Poliaris,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,10,Aktsia prikrytiia,"Koretskii, D.",Khar'kov,Grampus Eit ,Belletristika,Perekhvat ,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,10,Zhizn' i neobychainye prikliuchenia soldata ivana chonkina,"Voinovich, V.",Moscow,VAGRIUS,Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,1,Moskva banditskaia,"Modestov, N.",Moscow,Tsentrpoligraf,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,1,Opasnyi vozrast,"Khmelevskaia, I.",Moscow,FANTOM PRESS INTER V.M.,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,2,Banditskii peterburg,Konstantinov,St. Petersburg,Folio-press,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,2,Ugolovnyi kodeks rossiiskoi federatsii,not listed,not listed,vypuski raznykh izd-v,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,3,Pamiatnye zapiski,"Kaganovich, L.",Moscow,VAGRIUS,Inaia literatura,Moi XX vek,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,3,Rebenok i ukhod za nim,"Spok, B.",Moscow,"Agentstvo ""FAIR""",Inaia literatura,Nastol'naia kniga roditelei,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,4,Akterskaia kniga,"Kozakov, M.",Moscow,VAGRIUS,Inaia literatura,Moi XX vek,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,4,Talismany i sud'by,not listed,Moscow,Zolotoi telenok,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,5,Aplodismenty,"Gurchenko, L.",Moscow,Tsentrpoligraf,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,5,Tropinka k zdorov'iu,"Travinka, V.",St. Petersburg,Piter,Inaia literatura,Istseli sebia sam,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,6,Dvenadtsat' tainstv liubvi,"Gudmen, L.",Moscow,Tsentrpoligraf,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,6,Zolotaia kniga rukovoditelia,"Taranov, P.",Moscow,"Agentstvo ""FAIR""",Inaia literatura,Nastol'naia kniga biznesmena,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,7,Putevoditel' kgb po gorodam mira,not listed,Moscow,Sov. sekretno,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,7,Domashnee vinodelie,not listed,Moscow,Bukmen,Inaia literatura,Delaite eto pravil'no,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,8,L'vy v nasledstvo,"Patterson, G.",Moscow,ARMADA,Inaia literatura,Zelenaia seriia,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,8,Za derzhavu obidno,"Lebed', A.",Moscow,Mosk. pravda,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,9,"Rodnaia starina, slova, terminy, obrazy","Kniazev, E.",Moscow,Ostozh'e,Inaia literatura,Anatomiia istorii,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,9,Dumai i bogatei,"Khill, N.",Moscow,"Agentstvo ""FAIR""",Inaia literatura,Nastol'naia kniga biznesmena,v miagkoi oblozhke,,,,,,,,,,,
1-Oct-96,10,Russkaia kukhnia,not listed,Moscow,EKSMO,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
1-Oct-96,10,Zvezdy i sud'by,not listed,Moscow,Zolotoi telenok,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,5.5,Drevniaia rus',"Vernadskii, G. V.","Moscow, Tver'","AGRAF, LEAN","""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
8-Oct-96,5.5,Uslovnosti,"Kuzmin, M.",Tomsk,Vodolei,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
8-Oct-96,5.5,Velikosvetskie obedy: panorama stolichnoi zhizni,"Lotman, Iu. M., Pogosian, E. V.",St. Petersburg,Pushkinskii fond,"""Intellektual'nye"" bestsellery",Byloi peterburg,not listed,,,,,,,,,,,
8-Oct-96,5.5,Sravnitel'nyi slovar' mifologicheskoi simboliki v indoevropeiskikh iazykakh,"Makovskii, M. M.",Moscow,GITs Vlados,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
8-Oct-96,5.5,Kitai v XVI-XVII vekakh: traditsiia i kul'tura,"Maliavin, V. V.",Moscow,Iskusstvo,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
8-Oct-96,5.5,Iisus neizvestnyi,"Merezhkovskii, D. S.",Moscow,Respublika,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
8-Oct-96,5.5,"Kul'tura ""dva""","Papernyi, V.",Moscow,Novoe literaturnoe obozrenie,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
8-Oct-96,5.5,Chapaev i pustota,"Pelevin, V.",Moscow,VAGRIUS,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
8-Oct-96,5.5,Sinii vsadnik,not listed,Moscow,Izobrazitel'noe iskusstvo,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
8-Oct-96,5.5,Bodalsia telenok s dubom,"Solzhenitsyn, A. I.",Moscow,Soglasie,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
8-Oct-96,1,Russkie rabyni,"Khristoforov, I.",Moscow,EKSMO,Belletristika,Chernaia koshka ,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,1,Svoi krug,"Koretskii, D.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,2,Kontrol'nyi vystrel,"Neznanskii, F.",Moscow,"AST, Lirus, Drofa",Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,2,Liubov' vzaimy,"Foks, N,",Moscow,Raduga,Belletristika,Liubovnyi roman,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,3,Brosok Kobry,"Leonov, N.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,3,Korrektirovshchik,"Golovachev, V.",Moscow,EKSMO,Belletristika,Absoliutnoe oruzhie,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,4,Ne meshaite palachu,"Marinina, A.",Moscow,EKSMO,Belletristika,Chernaia koshka,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,4,Mne snilas' liubov',"Uorner, Kh.",Moscow,RMZh,Belletristika,Liubovnyi roman,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,5,Pakhan ,"Derevianko, I. ",Moscow,EKSMO,Belletristika,Chernaia koshka ,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,5,Liubovnaia pautina,"Ross, D.",Moscow,Raduga,Belletristika,iskushenie,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,6,Prigovor Mastera ,"Dolzhenko, V.",Moscow,VAGRIUS,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,6,Neznakomomu uz proshlogo,"Met'ius, Dzh.",Moscow,RMZh,Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,7,Razborki tret'ego urovnia,"Golovachev, V.",Moscow,EKSMO,Belletristika,Absoliutnoe oruzhie,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,7,Vybor mechenogo,"Taranov, S.",Moscow,VAGRIUS,Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,8,Tridtsatogo unichtozhit' ,"Dotsenko, V.",Moscow,VAGRIUS,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,8,Chernyi spisok,"Marinina, A.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,9,Aktsia prikrytiia,"Koretskii, D.",Khar'kov,Grampus Eit ,Belletristika,Perekhvat ,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,9,"Ob""evshis' minogami","Marsh, N.",Moscow,FanTOM PRESS INTER V.M.,Belletristika,Ironicheskii detektiv,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,10,Nikolai nikolaevich. Maskirovka,"Aleshkovskii, Iu.",Moscow,Vest',Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,10,Diktator ,"Snegov, S. ",Moscow,Riga: Poliaris,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,1,Razvedka i kreml'. zapiski nezhelatel'nogo svidetelia,"Sudoplatov, P.",Moscow,GEIa,Inaia literatura,Rassekrechennye zhizni,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,1,Opasnyi vozrast,"Khmelevskaia, I.",Moscow,FANTOM PRESS INTER V.M.,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,2,Moskva banditskaia,"Modestov, N.",Moscow,Tsentrpoligraf,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,2,Ugolovnyi kodeks rossiiskoi federatsii,not listed,not listed,vypuski raznykh izd-v,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,3,Banditskii peterburg,Konstantinov,St. Petersburg,Folio-press,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,3,Rebenok i ukhod za nim,"Spok, B.",Moscow,"Agentstvo ""FAIR""",Inaia literatura,Nastol'naia kniga roditelei,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,4,Pamiatnye zapiski,"Kaganovich, L.",Moscow,VAGRIUS,Inaia literatura,Moi XX vek,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,4,Tropinka k zdorov'iu,"Travinka, V.",St. Petersburg,Piter,Inaia literatura,Istseli sebia sam,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,5,Akterskaia kniga,"Kozakov, M.",Moscow,VAGRIUS,Inaia literatura,Moi XX vek,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,5,Zhenskie sny,"Miller, G. Kh.",Moscow,Zolotoi telenok,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,6,Dvenadtsat' tainstv liubvi,"Gudmen, L.",Moscow,Tsentrpoligraf,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,6,Dumai i bogatei,"Khill, N.",Moscow,"Agentstvo ""FAIR""",Inaia literatura,Nastol'naia kniga biznesmena,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,7,Putevoditel' kgb po gorodam mira,not listed,Moscow,Sov. sekretno,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,7,Zolotaia kniga rukovoditelia,"Taranov, P.",Moscow,"Agentstvo ""FAIR""",Inaia literatura,Nastol'naia kniga biznesmena,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,8,L'vy v nasledstvo,"Patterson, G.",Moscow,ARMADA,Inaia literatura,Zelenaia seriia,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,8,Zvezdy i sud'by,not listed,Moscow,Zolotoi telenok,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,9,Vozvrashchenie k samomu sebe,"Ul'ianov, M.",Moscow,Tsentrpoligraf,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,9,Domashnee vinodelie,not listed,Moscow,Bukmen,Inaia literatura,Delaite eto pravil'no,v miagkoi oblozhke,,,,,,,,,,,
8-Oct-96,10,Kak zavoevyvat' druzei i okazyvat' vliianie na liudei,"Karnegi, D.",not listed,vypuski raznykh izd-v,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
8-Oct-96,10,Rassekrechennyi lenin,"Latyshev, A.",Moscow,Mart,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,5.5,Sobr. soch. v 3 t.,"Aleshkovskii, Iu.",Moscow,NNN,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
15-Oct-96,5.5,Gora mborgali,"Amiredzhibi, Ch.",Moscow,VAGRIUS,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
15-Oct-96,5.5,Besedy V.D.Dubakina s M.M.Bakhtinym,not listed,Moscow,Progress,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
15-Oct-96,5.5,60-e: mir sovetskogo cheloveka,"Vail', P., Genis, A.",Moscow,Novoe literaturnoe obozrenie,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
15-Oct-96,5.5,Tainy. skazki. rudolf' shtainer o gete,"Gete, I. V.",Moscow,Enigma,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
15-Oct-96,5.5,Nachalo geometrii,"Gusserl', E.",Moscow,Ad marginem,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
15-Oct-96,5.5,Portretnye risunki pushkina,"Zhuikova, R. G.",St. Petersburg,Dmitrii bulanin,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
15-Oct-96,5.5,Rossiia v 1839 godu. v 2 t.,"Kiusten, A. de.",Moscow,Izdatel'stvo im. sabashnikovykh,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
15-Oct-96,5.5,"Mify, snovideniia, misterii.","Eliade, M.","Moscow, Kiev","REFL-book, bakler","""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
15-Oct-96,5.5,Demon i labirint,"Iampol'skii, M.",Moscow,Novoe literaturnoe obozrenie,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
15-Oct-96,1,Russkie rabyni,"Khristoforov, I.",Moscow,EKSMO,Belletristika,Chernaia koshka,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,1,Tantsui so mnoi,"Ueston, S.",Moscow,Raduga,Belletristika,Liubovnyi roman,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,2,Brosok Kobry,"Leonov, N.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,2,Korrektirovshchik,"Golovachev, V.",Moscow,EKSMO,Belletristika,Absoliutnoe oruzhie,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,3,Pakhan ,"Derevianko, I. ",Moscow,EKSMO,Belletristika,Chernaia koshka,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,3,Logovo Drakona,"Dzhordzh, K.",Moscow,Raduga,Belletristika,Liubovnyi roman,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,4,Privesti v ispolnenie,"Koretskii, D.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,4,Banda-4,"Pronin, V.",St. Petersburg,Folio-Press,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,5,Srok dlia beshenogo,"Dotsenko, V.",Moscow,VAGRIUS,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,5,Begestvo ot svad'by,"Mont, B.",Moscow,RMZh,Belletristika,Liubovnyi roman,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,6,Ne meshaite palachu,"Marinina, A.",Moscow,EKSMO,Belletristika,Chernaia koshka,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,6,Chto skazal pokoinik,"Khmelevskaia, I.",Moscow,FanTOM PRESS INTER V.M.,Belletristika,Ironicheskii detektiv,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,7,Antikiller,"Koretskii, D.",Moscow,EKSMO,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,7,Liubovnaia pautina,"Ross, D.",Moscow,Raduga,Belletristika,iskushenie,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,8,Roza Iorkov,"Bentsoni, Zh.",Moscow,Bukmen,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,8,L'dinka na Ladoni,"Mitchell, F.",Moscow,RMZh,Belletristika,Liubovnyi roman,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,9,Srok dlia beshenogo,"Dotsenko, V.",Moscow,VAGRIUS,Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,9,Sobor bez krestov-2,"Shintov, V.",Moscow,Bukmen,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,10,Smersh-2,"Golovachev, V.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,10,Diktator ,"Snegov, S. ",Moscow,Riga: Poliaris,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,1,Moskva banditskaia,"Modestov, N.",Moscow,Tsentrpoligraf,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,1,Zvezdy i sud'by,not listed,Moscow,Zolotoi telenok,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,2,Razvedka i kreml'. zapiski nezhelatel'nogo svidetelia,"Sudoplatov, P.",Moscow,GEIa,Inaia literatura,Rassekrechennye zhizni,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,2,Rasproshchaisia s bolezniami,"Gogulan, M.",Moscow,Fizkul'tura i sport,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,3,Banditskii peterburg,Konstantinov,St. Petersburg,Folio-press,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,3,Opasnyi vozrast,"Khmelevskaia, I.",Moscow,FANTOM PRESS INTER V.M.,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,4,Pamiatnye zapiski,"Kaganovich, L.",Moscow,VAGRIUS,Inaia literatura,Moi XX vek,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,4,"Sekrety o muzhchinakh, kotorye dolzhna znat' kazhdaia zhenshcina","De Andzhelis, B.","Moscow, Dubna","Tsentr obshchechelovecheskikh tsennostei, feniks",Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,5,L'vy v nasledstvo,"Patterson, G.",Moscow,ARMADA,Inaia literatura,Zelenaia seriia,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,5,Ugolovnyi kodeks rossiiskoi federatsii,not listed,not listed,vypuski raznykh izd-v,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,6,Akterskaia kniga,"Kozakov, M.",Moscow,VAGRIUS,Inaia literatura,Moi XX vek,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,6,Rebenok i ukhod za nim,"Spok, B.",Moscow,"Agentstvo ""FAIR""",Inaia literatura,Nastol'naia kniga roditelei,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,7,Kak zavoevyvat' druzei i okazyvat' vliianie na liudei,"Karnegi, D.",not listed,vypuski raznykh izd-v,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,7,Isprav' sud'bu svoiu,"Travinka, V., Levshinov, A.",St. Petersburg,Piter,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,8,Pod kolpakom kontrrazvedki: tainaia podopleka perestroiki,"Shironin, V.",Moscow,Paleia,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,8,Zolotaia kniga rukovoditelia,"Taranov, P.",Moscow,"Agentstvo ""FAIR""",Inaia literatura,Nastol'naia kniga biznesmena,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,9,Putevoditel' kgb po gorodam mira,not listed,Moscow,Sov. sekretno,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,9,Tolkovanie snov ot artemidora do millera,not listed,Moscow,Zolotoi telenok,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
15-Oct-96,10,Dvenadtsat' tainstv liubvi,"Gudmen, L.",Moscow,Tsentrpoligraf,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
15-Oct-96,10,Dumai i bogatei,"Khill, N.",Moscow,"Agentstvo ""FAIR""",Inaia literatura,Nastol'naia kniga biznesmena,v miagkoi oblozhke,,,,,,,,,,,
22-Oct-96,5.5,Besedy V.D.Dubakina s M.M.Bakhtinym,not listed,Moscow,Progress,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
22-Oct-96,5.5,Kniga masok,"Gurmon, R. de.",Tomsk,Volodei,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
22-Oct-96,5.5,"Znanie za predelami nauki. mistitsizm, germetizm, astrologiia, alkhimiia, magiia v intellektualnykh traditsiiakh I — XIV vv",not listed,Moscow,Respublika,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
22-Oct-96,5.5,Sedaia starina moskvy. istoricheskii obzor i polnyi ukazatel' ee dostoprimechatelnostei,"Kondrat'ev, I. K.",Moscow,Voenizdat,"""Intellektual'nye"" bestsellery",Redkaia kniga,not listed,,,,,,,,,,,
